 ,Label,lumMean,lumSD,area,vsMean,vsSD,swMean,swSD,mwMean,mwSD,lwMean,lwSD,dblMean,dblSD
1002,238_Citrus_AvLeaf,9280.831,2188.731,1230984,3377.923,536.375,5311.897,1123.189,10705.452,2409.755,8365.189,2234.045,9280.831,2188.731
1003,239_Citrus_Leaf,8122.187,1697.16,4710779,2853.026,648.948,4563.439,1008.708,9465.633,1854.493,7215.743,1729.369,8122.187,1697.16
1004,239_Citrus_Pronotum,3176.36,563.044,183231,3278.276,544.652,2837.178,592.237,3518.522,610.484,2951.292,553.867,3176.36,563.044
1005,239_Citrus_Dot,2644.017,542.839,67009,3122.312,412.206,2643.872,490.305,2953.69,594.388,2354.411,556.363,2644.017,542.839
1006,239_Citrus_Abdomen,4058.414,1483.226,583074,3632.416,883.749,3413.514,1174.118,4241.586,1444.726,4280.857,1753.035,4058.414,1483.226
1007,239_Citrus_AvLeaf,9165.151,1915.43,954816,3400.754,553.432,5353.111,1020.267,10567.999,2096.144,8237.769,1985.315,9165.151,1915.43
1008,240_Citrus_Leaf,7153.976,2088.747,2441097,2735.111,609.092,4131.496,1172.285,8410.402,2323.686,6213.999,2027.707,7153.976,2088.747
1009,240_Citrus_Pronotum,4745.176,1199.143,148382,4117.775,825.316,4012.244,985.962,5016.824,1197.135,4830.82,1354.914,4745.176,1199.143
1010,240_Citrus_Dot,2234.175,595.153,60210,2530.757,450.907,2028.96,535.064,2595.099,647.13,1933.472,583.977,2234.175,595.153
1011,240_Citrus_Abdomen,2661.096,507.073,491893,2755.067,351.912,2344.499,411.452,2991.224,548.232,2464.651,551.228,2661.096,507.073
1012,240_Citrus_AvLeaf,7742.599,2496.212,923310,3030.189,607.96,4561.346,1333.154,9041.782,2783.545,6776.072,2426.611,7742.599,2496.212
1013,241_Citrus_Leaf,6457.16,1816.031,2334664,2621.114,533.378,3774.749,1001.73,7623.077,2029.948,5556.649,1767.926,6457.16,1816.031
1014,241_Citrus_Pronotum,2641.597,479.542,127154,2760.195,435.243,2313.735,451.602,2996.135,511.677,2400.291,507.528,2641.597,479.542
1015,241_Citrus_Dot,2283.516,627.504,79614,2538.141,394.394,2038.468,501.027,2644.538,664.274,1996.1,672.816,2283.516,627.504
1016,241_Citrus_Abdomen,3161.631,1012.909,596149,2997.595,531.058,2694.681,783.987,3471.743,1030.804,3066.803,1139.114,3161.631,1012.909
1017,241_Citrus_AvLeaf,7445.329,2288.223,378795,2934.163,540.376,4380.434,1196.894,8712.486,2562.619,6497.154,2220.363,7445.329,2288.223
1018,242_Citrus_Leaf,7543.667,1824.025,2202337,2859.369,639.475,4294.872,1061.073,8833.375,2022.695,6616.332,1789.201,7543.667,1824.025
1019,242_Citrus_Pronotum,2548.088,523.056,171467,2696.312,473.936,2185.024,497.95,2887.308,561.126,2347.732,539.898,2548.088,523.056
1020,242_Citrus_Dot,2951.915,734.584,49897,2932.508,561.741,2458.573,641.338,3199.749,760.548,2987.632,800.292,2951.915,734.584
1021,242_Citrus_Abdomen,4376.293,1736.212,496621,3811.76,940.709,3590.744,1204.439,4553.456,1660.52,4667.187,2161.818,4376.293,1736.212
1022,242_Citrus_AvLeaf,8020.289,2256.927,755832,3090.797,658.507,4632.792,1254.917,9345.592,2505.283,7073.566,2210.839,8020.289,2256.927
1023,243_Citrus_Leaf,6896.912,1634.284,2160589,2671.56,623.464,3954.354,1001.236,8118.717,1807.788,5988.723,1591.437,6896.912,1634.284
1024,243_Citrus_Pronotum,2816.234,714.601,186482,3081.622,729.584,2592.476,749.805,3146.473,732.085,2569.101,733.437,2816.234,714.601
1025,243_Citrus_Dot,2487.507,813.39,84131,2725.132,573.478,2273.606,681.238,2791.871,816.373,2303.196,917.512,2487.507,813.39
1026,243_Citrus_Abdomen,4001.219,1528.611,536151,3594.609,836.611,3379.865,1103.534,4226.755,1484.529,4131.578,1839.835,4001.219,1528.611
1027,243_Citrus_AvLeaf,8421.673,1864.729,314057,3225.972,545.57,4931.791,1026.051,9780.215,2084.363,7458.691,1818.128,8421.673,1864.729
1028,244_Citrus_Leaf,9325.168,2625.576,3590395,3088.538,805.809,5131.631,1473.951,10791.423,2855.159,8419.563,2686.203,9325.168,2625.576
1029,244_Citrus_Pronotum,2618.833,508.654,173090,3015.247,502.245,2522.906,516.823,2960.807,536.848,2302.06,556.138,2618.833,508.654
1030,244_Citrus_Dot,3105.684,1059.87,71154,3064.338,646.717,2684.366,835.01,3362.098,1081.051,3098.411,1165.325,3105.684,1059.87
1031,244_Citrus_Abdomen,4978.206,2005.06,538599,4091.208,970.575,3999.037,1343.039,5123.376,1929.276,5409.02,2485.526,4978.206,2005.06
1032,244_Citrus_AvLeaf,10476.13,3305.171,633055,3670.746,909.065,5978.982,1846.697,12032.403,3627.153,9500.404,3280.176,10476.13,3305.171
1033,245_Citrus_Leaf,9729.327,2982.778,2736090,3140.546,783.738,5310.728,1591.837,11219.644,3231.1,8865.864,3100.001,9729.327,2982.778
1034,245_Citrus_Pronotum,3067.323,500.126,164434,3182.183,547.742,2706.854,593.249,3368.895,533.604,2930.568,530.449,3067.323,500.126
1035,245_Citrus_Dot,2824.44,785.25,70930,2849.361,507.058,2410.258,645.272,3060.553,798.464,2855.97,894.839,2824.44,785.25
1036,245_Citrus_Abdomen,4743.037,2035.141,570549,3965.413,1048.449,3834.934,1456.276,4912.551,1986.168,5094.492,2419.856,4743.037,2035.141
1037,245_Citrus_AvLeaf,11423.543,2915.889,457761,3841.008,741.995,6436.564,1597.116,13077.918,3206.509,10450.069,2916.23,11423.543,2915.889
1038,246_Citrus_Leaf,9307.378,2730.477,3084174,3109.995,832.141,5201.052,1550.802,10771.282,2956.631,8386.259,2810.555,9307.378,2730.477
1039,246_Citrus_Pronotum,2700.96,610.559,180495,2772.833,530.829,2338.717,605.172,3058.772,646.026,2469.03,622.617,2700.96,610.559
1040,246_Citrus_Dot,2864.729,944.352,82711,2945.888,643.519,2545.932,819.383,3202.751,968.004,2657.112,1006.26,2864.729,944.352
